         8	    0.000001898
        16	    0.000001891
        32	    0.000001886
        64	    0.000003388
       128	    0.000002486
       256	    0.000002646
       512	    0.000002573
      1024	    0.000002704
      2048	    0.000002768
      4096	    0.000002907
      8192	    0.000003171
     16384	    0.000003531
     32768	    0.000006218
     65536	    0.000007527
    131072	    0.000010337
    262144	    0.000015671
    524288	    0.000028564
   1048576	    0.000048402
   2097152	    0.000092048
   4194304	    0.000178846
   8388608	    0.000353611
  16777216	    0.000729568
  33554432	    0.001400987
  67108864	    0.002816487
 134217728	    0.005630953
 268435456	    0.011247056
 536870912	    0.022756651
1073741824	    0.044942450
