23952.1,18583.0,22909.3,21750.9
23888.1,18520.5,22861.4,21674.1
23877.1,18554.8,22777.1,21627.6
23912.8,18521.0,22868.1,21643.4
23266.1,18185.7,22252.9,21152.6
29022.6,116548.9,161397.0,213722.5
30371.5,125884.2,174037.5,224094.6
27520.6,125203.1,176323.9,195576.6
31861.0,124321.7,200684.4,211299.9
29186.6,128094.8,166550.8,220801.3
31378.3,112523.2,167131.5,184771.1
31281.8,123452.7,153661.0,195766.8
35675.3,116185.7,161630.2,193732.3
32586.6,124807.3,172901.6,197689.1
31949.0,113956.3,151032.7,188508.0
24860.7,151830.0,199175.5,226464.1
25735.9,133550.0,184466.4,223895.2
24078.4,145194.4,161942.2,212594.1
26336.8,174082.7,174550.5,243914.0
23901.7,148833.1,200325.0,205645.1
